code,system
47132,gprdproduct
1720,gprdproduct
1348,gprdproduct
443,gprdproduct
5986,gprdproduct
57748,gprdproduct
23211,gprdproduct
25263,gprdproduct
55819,gprdproduct
61465,gprdproduct
2265,gprdproduct
54527,gprdproduct
68515,gprdproduct
23218,gprdproduct
61890,gprdproduct
12631,gprdproduct
59414,gprdproduct
2769,gprdproduct
1466,gprdproduct
56732,gprdproduct
2061,gprdproduct
6431,gprdproduct
61190,gprdproduct
25124,gprdproduct
1613,gprdproduct
56103,gprdproduct
38500,gprdproduct
40650,gprdproduct
54800,gprdproduct
239,gprdproduct
47057,gprdproduct
48570,gprdproduct
58485,gprdproduct
45059,gprdproduct
13810,gprdproduct
10201,gprdproduct
2553,gprdproduct
19131,gprdproduct
14670,gprdproduct
15987,gprdproduct
14977,gprdproduct
31528,gprdproduct
53201,gprdproduct
125,gprdproduct
67274,gprdproduct
67248,gprdproduct
4608,gprdproduct
3538,gprdproduct
2084,gprdproduct
3436,gprdproduct
14459,gprdproduct
9119,gprdproduct
19551,gprdproduct
8103,gprdproduct
976,gprdproduct
18569,gprdproduct
6596,gprdproduct
42510,gprdproduct
43009,gprdproduct
21343,gprdproduct
22603,gprdproduct
31902,gprdproduct
33098,gprdproduct
23897,gprdproduct
15886,gprdproduct
3472,gprdproduct
1601,gprdproduct
56553,gprdproduct
21733,gprdproduct
40305,gprdproduct
59149,gprdproduct
40618,gprdproduct
